,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,第一7.50,0,25,44,6714501542293567417
0,我来了，看雪国列车，沈腾徐峥,0,29,48,6714501607619835519
0,哇，三个半小时,0,26,18,6714501650082624092
0,是不是提前了,0,28,25,6714501630525941405
0,这么不守时  我喜欢,0,28,15,6714501765807665966
0,李雪琴，为你而来,0,25,55,6714501778375121783
0,原来不是直播,0,25,12,6714501868644932633
0,更新了！！！！！,0,27,37,6714501897820243279
0,谁还不是个会员了,0,25,11,6714502051670455609
0,小仙女来打卡,0,27,21,6714502358904581061
0,来啰,0,25,0,6714502476554768577
0,没到点阿,0,25,3,6714502544338915636
0,第一第一第一,0,25,4,6714502523891683610
0,七点四十八打卡,0,27,14,6714502768443814006
0,冠军是你,0,28,2,6714502963554447851
0,来了来了！！！！,0,26,8,6714502984559164419
0,我来啦,0,26,0,6714503126239876437
0,第一条弹幕！为沈腾老罗而来！,0,29,28,6714503310277547661
0,今年的大会比前几年要精彩多了,0,29,22,6714503332423472821
0,来了,0,27,0,6714503446633054029
0,都别争，我才是第一,0,27,6,6714503627659572898
0,第一第一,0,26,0,6714503865230141084
0,瓜子，可乐准备好,0,27,2,6714503905812869753
0,这么不准时吗？,0,29,3,6714503957747794897
0,牛逼，三个半钟,0,28,4,6714504116389259401
0,怎么三个半小时,0,27,1,6714504244549055743
0,本届王勉第一,0,28,0,6714504757085980767
0,爱了爱了,0,26,0,6714504657491921134
0,沈腾来了,0,28,1,6714504936451150393
0,良心啊 3个半小时,0,29,5,6714505014729493051
0,来了，都不知道该开心还是难过，我的流量啊,0,29,1,6714505694827184290
0,来了来了,0,29,0,6714505602359562234
0,时长真给力,0,26,1,6714506168741862290
0,王建国，永远支持你,0,28,1,6714508683934627275
0,七点四十八打卡,2,19,66,6714500787817610328
0,不是预告！,5,16,62,6714500884026555630
0,前排,0,16,4,6714500924364530114
0,我第二？？就喜欢不准时,0,16,69,6714500886469004327
0,没人？,1,15,27,6714501048142599783
0,第一呀,4,19,22,6714500987115476468
0,第一没了,6,17,37,6714500979179589385
0,我来啦,0,15,17,6714501162072211487
0,VIP :我第一？,5,18,61,6714501163712499198
0,来来来,0,15,19,6714501309912348163
0,19.50第一[厉害],0,17,24,6714501303172084831
0,提前更新啦，太棒啦,0,16,37,6714501232578776700
0,盼来了盼来了,0,19,21,6714501231383085214
0,你看到了吗，小郏儿童鞋,0,15,8,6714501406796214436
0,来了来了来了，哥哥们开始乘风破浪了,0,15,7,6714500873357299302
0,第一 1111111111111111111111111111111111111111,0,18,57,6714501513067295068
0,就喜欢腾讯的不守时,0,18,12,6714501524471952880
0,前方高能。。。,0,15,7,6714501585843009116
0,这个时长真的爱了,0,18,7,6714501552946737577
0,提前10分钟进来。,0,17,14,6714501619699447878
0,三个半小时……,0,17,11,6714501491210776887
0,来了来了来了,0,18,4,6714501685659055912
0,罪过罪过来晚了,0,15,0,6714501705075464937
0,就喜欢不准时 就喜欢不准时,0,15,1,6714501785853297796
0,第三？,0,19,5,6714501862721616399
0,老罗牛逼🐮,0,17,2,6714501992838006297
0,哇，热乎的吗,0,18,2,6714501984180255067
0,哦豁,0,19,0,6714502312507190135
0,好,0,16,0,6714502302700603465
0,哇塞，三个多小时，可以看到半夜了,0,16,16,6714502456840584759
0,11111111,0,17,0,6714502389179074310
0,提前了,0,19,3,6714502628262480540
0,不准时,3,17,0,6714502700878729810
0,先拉最后看结果。气炸！为了国仔腾哥老罗我还是要看完,0,19,5,6714502808621052093
0,时长感人,0,19,1,6714502830191999696
0,嘉宾阵容绝了,0,18,1,6714503257239597588
0,加油！！建国,0,17,3,6714503336709092478
0,三个多小时，舒服了,0,18,2,6714531010689829201
0,吖,0,16,0,6720102910052024031
0,前排,4,9,14,6714500855221439461
0,三个半小时，牛批,6,8,117,6714500916051383693
0,来了,3,6,4,6714500922154131902
0,来啦,0,8,0,6714500986301817376
0,第一第一,0,9,31,6714501012384841172
0,管他第几先占位,3,7,96,6714501059358168700
0,🙃🙃🙃,7,5,46,6714501139460986634
0,来了来了,0,5,21,6714501136138138825
0,竟然三个小时，我的天，好开心,0,6,211,6714501133214692142
0,第一吗,0,8,11,6714501196222502761
0,出来了,0,6,27,6714501126353822494
0,提前10分钟，好棒啊,0,9,116,6714501124612191398
0,三个小时，今晚不睡了吗,0,5,68,6714501243853019062
0,小郏儿,0,6,21,6714501282239325230
0,丢丢  第一第一,0,5,29,6714501326270824753
0,就是喜欢你的不准时，南通张龙隆前来报到,0,5,25,6714501225988519281
0,呼兰呼兰呼兰呼兰,0,5,17,6714501351386317150
0,来了第一,0,7,34,6714501348039577413
0,49,0,5,0,6714501298390595057
0,来了来了，这么早吗,0,9,57,6714501294256006214
0,预告三小时？,0,7,31,6714501420339984080
0,第一,0,5,0,6714501443253104869
0,来早了,0,7,8,6714501414828668613
0,这个时长爱了爱了,0,7,12,6714501469837967395
0,LWS不等你了，我自己先看了,0,7,15,6714501526045524640
0,就喜欢你不准时,0,7,5,6714501540948197527
0,来了来了人少的我占个前排,0,8,34,6714501568496075501
0,提前了,4,8,7,6714501608181872258
0,来了来了时长感人,0,9,28,6714501609856418066
0,19.52打卡,0,6,12,6714501604764222249
0,我来了,0,9,2,6714501646136129233
0,来看沈腾叔叔,0,8,7,6714501664277201826
0,我来了七点五十二,0,6,19,6714501664502986489
0,厉害哦,0,6,3,6714501578927577613
0,提前10分钟啊,0,8,5,6714501691422046416
0,就喜欢腾讯视频的不准时,0,8,4,6714501673240733409
0,啊啊啊啊啊啊,0,7,5,6714501688763859356
0,终于决赛了,0,9,8,6714501825795965623
0,老舅,0,6,0,6714502155833165126
0,腾讯视频牛逼,0,9,6,6714502006780183574
0,"19.47,第一",7,24,28,6714500693807833125
0,19.48,1,20,30,6714500785612459489
0,diyidiyi,0,24,9,6714500722610129652
0,牛逼 够早,5,21,57,6714500875332104558
0,写的预告点进来居然可以提前看了,6,22,114,6714501046087426696
0,没人吗哈哈哈哈哈,2,23,58,6714501015993295440
0,第三,0,21,4,6714501078730683092
0,我第一 我 我弟一,0,23,40,6714501025266865723
0,我才是第一,0,23,23,6714501085106041934
0,50,0,22,3,6714501167944551947
0,第一,0,21,2,6714501160632516330
0,我第一,0,24,3,6714501175129383795
0,我先到开了 我先到的,0,20,38,6714501208330482618
0,三个半小时？,0,20,16,6714501310902187115
0,木有人？,0,21,15,6714501328292783234
0,第一！！,0,20,5,6714501230674562681
0,来了了,0,22,17,6714501295031648512
0,七点五十,0,21,11,6714501407354418867
0,来了！！！！！！！,0,24,4,6714501364328886347
0,wm冠军,0,20,7,6714501435766272213
0,盼来咯,0,22,11,6714501566171723330
0,我来了,0,21,4,6714501566071767784
0,早更了,0,22,7,6714501554515752493
0,第一，第一,0,22,12,6714501642571946620
0,没人？,0,20,2,6714501578432649739
0,喜欢腾讯的不准时,0,20,2,6714501316929060845
